politician,politicianDescription,image,politicianLabel,date_of_birth
http://www.wikidata.org/entity/Q157,24th President of the French Republic,http://commons.wikimedia.org/wiki/Special:FilePath/Francois%20Hollande%202015.jpeg,François Hollande,1954-08-12T00:00:00Z
http://www.wikidata.org/entity/Q101410,Prime Minister of France (2007-2012),http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois%20Fillon%202010.jpg,François Fillon,1954-03-04T00:00:00Z
http://www.wikidata.org/entity/Q1027406,French deputy,http://commons.wikimedia.org/wiki/Special:FilePath/Fan%C3%A9lie%20Carrey-Conte.jpg,Fanélie Carrey-Conte,1980-05-16T00:00:00Z
http://www.wikidata.org/entity/Q1051012,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Catherine%20M%C3%A9gret.jpg,Catherine Mégret,1958-03-16T00:00:00Z
http://www.wikidata.org/entity/Q1059511,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Roger%20Karoutchi%206.jpg,Roger Karoutchi,1951-08-26T00:00:00Z
http://www.wikidata.org/entity/Q1096496,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Bartolone.jpg,Claude Bartolone,1951-07-29T00:00:00Z
http://www.wikidata.org/entity/Q11015795,Peruvian politician,http://commons.wikimedia.org/wiki/Special:FilePath/Ver%C3%B3nika%20Mendoza%20%28cropped%29.jpg,Verónika Mendoza,1980-12-09T00:00:00Z
http://www.wikidata.org/entity/Q1106890,French Polynesian politician,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89douard%20Fritch%20March%C3%A9%20Papeete.JPG,Édouard Fritch,1952-01-04T00:00:00Z
http://www.wikidata.org/entity/Q1108330,"French association football player, politician and journalist",http://commons.wikimedia.org/wiki/Special:FilePath/Avi%20Assouly-IMG%205677.JPG,Avi Assouly,1950-06-05T00:00:00Z
http://www.wikidata.org/entity/Q1134143,New Caledonian politician,http://commons.wikimedia.org/wiki/Special:FilePath/Harold%20Martin.jpg,Harold Martin,1954-04-06T00:00:00Z
http://www.wikidata.org/entity/Q113957,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Daniel%20Dubois%20mars%202011.JPG,Daniel Dubois,1952-02-05T00:00:00Z
http://www.wikidata.org/entity/Q1160874,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/DG%20EHPAD%20070206.jpg,Daniel Goldberg,1965-08-24T00:00:00Z
http://www.wikidata.org/entity/Q11692759,"French historian, politician and writer",http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20sorauren.png,Mikel Sorauren,1946-01-01T00:00:00Z
http://www.wikidata.org/entity/Q117340,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois%20De%20Rugy%20-%20Assembl%C3%A9e%20Nationale%20-%2020111025-02.jpg,François de Rugy,1973-12-06T00:00:00Z
http://www.wikidata.org/entity/Q117402,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Barbara%20pompili.jpg,Barbara Pompili,1975-06-13T00:00:00Z
http://www.wikidata.org/entity/Q1188660,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Jcmignon.portrait.jpg,Jean-Claude Mignon,1950-02-02T00:00:00Z
http://www.wikidata.org/entity/Q1192864,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20Morel-A-L%27Huissier.jpg,Pierre Morel-A-L'Huissier,1958-12-21T00:00:00Z
http://www.wikidata.org/entity/Q119362,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Paul%20Besset%20Europe%20Ecologie%202009-06-03.jpg,Jean-Paul Besset,1946-08-17T00:00:00Z
http://www.wikidata.org/entity/Q120693,Swiss politician,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Studer%202008.jpg,Jean Studer,1957-11-12T00:00:00Z
http://www.wikidata.org/entity/Q121901,Swiss politician,http://commons.wikimedia.org/wiki/Special:FilePath/B%C3%A9atrice%20M%C3%A9traux-crop.jpg,Béatrice Métraux,1955-08-11T00:00:00Z
http://www.wikidata.org/entity/Q1233700,French rapper,http://commons.wikimedia.org/wiki/Special:FilePath/DOC%20GYNECO-24x30-1997.jpg,Doc Gynéco,1974-05-10T00:00:00Z
http://www.wikidata.org/entity/Q1238152,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Marisol%20Touraine.jpg,Dominique Bertinotti,1954-01-10T00:00:00Z
http://www.wikidata.org/entity/Q1238152,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Dominique%20Bertinotti.jpg,Dominique Bertinotti,1954-01-10T00:00:00Z
http://www.wikidata.org/entity/Q1238159,French political figure and journalist,http://commons.wikimedia.org/wiki/Special:FilePath/Dominique%20Baudis%20devant%20le%20Parlement%20europ%C3%A9en.jpg,Dominique Baudis,1947-04-14T00:00:00Z
http://www.wikidata.org/entity/Q1238301,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Dominique%20plancke.jpg,Dominique Plancke,1957-04-19T00:00:00Z
http://www.wikidata.org/entity/Q1238315,French member of European Parliament,http://commons.wikimedia.org/wiki/Special:FilePath/Dominique%20Riquet%20MEP%20France%2002.jpg,Dominique Riquet,1946-09-18T00:00:00Z
http://www.wikidata.org/entity/Q1238345,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Dominique%20Tian%20lors%20du%20premier%20tour%20de%20l%27%C3%A9lection%20pr%C3%A9sidentielle%202012.JPG,Dominique Tian,1959-12-14T00:00:00Z
http://www.wikidata.org/entity/Q1285501,French historian and politician,http://commons.wikimedia.org/wiki/Special:FilePath/Esther%20Benbassa.jpg,Esther Benbassa,1950-03-27T00:00:00Z
http://www.wikidata.org/entity/Q129774,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Delebarre%204JDD%202010.jpg,Michel Delebarre,1946-04-27T00:00:00Z
http://www.wikidata.org/entity/Q131660,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Launch%20Republique%20Solidaire%202010-06-19%20n05.jpg,Dominique de Villepin,1953-11-14T00:00:00Z
http://www.wikidata.org/entity/Q1321340,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/George%20Pau-Langevin%20-%20F%C3%A9vrier%202013%20%282%29.jpg,George Pau-Langevin,1948-10-19T00:00:00Z
http://www.wikidata.org/entity/Q13232533,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Fr%C3%A9d%C3%A9ric%20B%C3%A9atse.jpg,Frédéric Béatse,1970-10-04T00:00:00Z
http://www.wikidata.org/entity/Q1335797,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Fr%C3%A9d%C3%A9ric%20Nihous%20-%20Langon%202007%20-%20p1%20cropped.jpg,Frédéric Nihous,1967-08-15T00:00:00Z
http://www.wikidata.org/entity/Q13414872,Catalan economist and politician,http://commons.wikimedia.org/wiki/Special:FilePath/Via%20Catalana%20Barcelona%20Pla%C3%A7a%20Catalunya%2092.jpg,Muriel Casals,1945-04-06T00:00:00Z
http://www.wikidata.org/entity/Q13426765,French Jewish politician,http://commons.wikimedia.org/wiki/Special:FilePath/Photo%20Assemblee%20nationale%20pixels.png,Meyer Habib,1961-04-28T00:00:00Z
http://www.wikidata.org/entity/Q1347791,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Emmanuelli.jpg,Henri Emmanuelli,1945-05-31T00:00:00Z
http://www.wikidata.org/entity/Q1351147,French politician French MEP,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%A9rard%20Onesta%20-%20Cohen%27s%20rallye%2C%20Toulouse%20town%20election%2C%202008%201261.jpg,Gérard Onesta,1960-08-05T00:00:00Z
http://www.wikidata.org/entity/Q1353605,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/PASCAL%20CLEMENT%201.jpg,Pascal Clément,1945-05-12T00:00:00Z
http://www.wikidata.org/entity/Q1360173,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%A9rard%20Longuet.jpg,Gérard Longuet,1946-02-24T00:00:00Z
http://www.wikidata.org/entity/Q1368766,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Pierre%20Audy%20par%20Claude%20Truong-Ngoc%20mai%202013.jpg,Jean-Pierre Audy,1952-06-12T00:00:00Z
